idx,sentCode,activiewObserved,delta
1,1,NaN,NaN
2,1,NaN,NaN
3,2,NaN,NaN
4,2,NaN,NaN
5,4,NaN,NaN
6,4,NaN,NaN
7,8,NaN,NaN
8,8,NaN,NaN
9,16,NaN,NaN
10,16,NaN,NaN
11,32,NaN,NaN
12,32,NaN,NaN
13,64,4,-60
14,64,NaN,NaN
15,128,0,-128
16,128,NaN,NaN
17,11,2,-9
18,11,NaN,NaN
19,12,NaN,NaN
20,12,NaN,NaN
21,21,3,-18
22,21,NaN,NaN
23,22,NaN,NaN
24,22,NaN,NaN
25,23,NaN,NaN
26,23,NaN,NaN
27,31,NaN,NaN
28,31,NaN,NaN
29,41,0,-41
30,41,NaN,NaN
31,42,NaN,NaN
32,42,NaN,NaN
33,43,NaN,NaN
34,43,NaN,NaN
35,44,1,-43
36,44,NaN,NaN
37,51,2,-49
38,51,NaN,NaN
39,52,3,-49
40,52,NaN,NaN
41,53,NaN,NaN
42,53,NaN,NaN
43,54,NaN,NaN
44,54,NaN,NaN
45,3,2,-1
46,3,NaN,NaN
47,5,NaN,NaN
48,5,NaN,NaN
49,10,NaN,NaN
50,10,NaN,NaN
51,15,NaN,NaN
52,15,NaN,NaN
53,63,3,-60
54,63,NaN,NaN
55,127,7,-120
56,127,NaN,NaN
57,255,NaN,NaN
58,255,NaN,NaN
